Date	Price	Open	High	Low	Vol.	Change %
03/24/2024	18,254.69	18,215.54	18,378.70	18,168.20	982.88M	-0.46%
03/17/2024	18,339.44	18,024.24	18,464.70	17,809.15	1.29B	2.98%
03/10/2024	17,808.25	17,959.68	18,228.37	17,764.99	1.78B	-1.17%
03/03/2024	18,018.45	18,290.10	18,416.73	17,804.49	1.45B	-1.55%
02/25/2024	18,302.91	17,970.21	18,333.26	17,840.36	1.38B	2.04%
02/18/2024	17,937.61	17,591.17	18,091.62	17,319.44	1.09B	1.42%
02/11/2024	17,685.98	17,942.28	18,041.45	17,478.23	1.26B	-1.54%
02/04/2024	17,962.40	17,634.69	17,987.90	17,469.62	1.24B	1.81%
01/28/2024	17,642.73	17,438.03	17,682.29	17,128.74	1.42B	1.27%
01/21/2024	17,421.01	17,403.62	17,665.26	17,286.02	1.27B	0.62%
01/14/2024	17,314.01	16,775.10	17,317.21	16,561.49	1.06B	2.86%
01/07/2024	16,832.92	16,354.22	16,900.37	16,349.39	1.12B	3.23%
12/31/2023	16,305.98	16,667.30	16,686.60	16,249.19	984.44M	-3.09%
12/24/2023	16,825.93	16,816.78	16,969.17	16,757.88	677.15M	0.29%
12/17/2023	16,777.40	16,631.11	16,860.68	16,552.06	1.14B	0.93%
12/10/2023	16,623.45	16,069.62	16,669.77	16,061.87	2.20B	3.35%
12/03/2023	16,084.69	15,837.12	16,100.86	15,695.58	1.23B	0.54%
11/26/2023	15,997.58	15,969.72	16,166.51	15,825.67	1.38B	0.10%
11/19/2023	15,982.01	15,845.20	16,119.31	15,844.83	767.38M	0.91%
11/12/2023	15,837.99	15,469.21	15,904.63	15,404.71	1.30B	1.99%
11/05/2023	15,529.12	15,137.17	15,535.20	15,064.91	1.24B	2.85%
10/29/2023	15,099.49	14,283.98	15,149.78	14,225.86	1.36B	6.48%
10/22/2023	14,180.42	14,514.11	14,774.16	14,058.33	1.34B	-2.61%
10/15/2023	14,560.88	15,054.48	15,209.50	14,552.12	1.26B	-2.90%
10/08/2023	14,995.12	14,871.57	15,333.98	14,816.32	1.08B	0.15%
10/01/2023	14,973.24	14,717.90	15,021.38	14,504.14	1.18B	1.75%
09/24/2023	14,715.24	14,662.69	14,901.85	14,432.60	1.17B	0.10%
09/17/2023	14,701.10	15,161.17	15,268.96	14,686.84	1.15B	-3.30%
09/10/2023	15,202.40	15,409.77	15,512.82	15,173.71	1.69B	-0.51%
09/03/2023	15,280.23	15,460.52	15,556.85	15,138.73	943.30M	-1.36%
08/27/2023	15,490.86	15,035.48	15,618.85	14,948.92	1.18B	3.67%
08/20/2023	14,941.83	14,762.01	15,279.24	14,715.36	1.22B	1.68%
08/13/2023	14,694.84	14,988.42	15,206.26	14,557.83	1.13B	-2.22%
08/06/2023	15,028.07	15,355.62	15,410.85	14,973.67	1.11B	-1.62%
07/30/2023	15,274.92	15,774.30	15,803.55	15,258.69	1.30B	-3.02%
07/23/2023	15,750.93	15,475.15	15,795.51	15,374.66	1.31B	2.11%
07/16/2023	15,425.67	15,608.28	15,932.05	15,410.57	1.90B	-0.90%
07/09/2023	15,565.60	15,031.95	15,720.05	14,924.64	1.29B	3.52%
07/02/2023	15,036.85	15,190.54	15,275.18	14,969.14	856.51M	-0.94%
06/25/2023	15,179.21	14,866.66	15,213.75	14,687.02	1.33B	1.93%
06/18/2023	14,891.48	15,036.48	15,127.42	14,794.95	1.26B	-1.28%
06/11/2023	15,083.92	14,617.35	15,284.65	14,571.36	1.96B	3.82%
06/04/2023	14,528.36	14,550.13	14,672.85	14,283.88	1.35B	-0.13%
05/28/2023	14,546.64	14,465.59	14,595.81	14,216.16	1.51B	1.74%
05/21/2023	14,298.41	13,805.33	14,329.49	13,520.92	1.41B	3.59%
05/14/2023	13,803.49	13,352.26	13,874.42	13,297.85	1.21B	3.47%
